timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600081620081,1977,Choose room from some hotel,200,OK,Thread Group 1 1-16,text,true,,9009,386,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,852,0,0
1600081620081,852,Choose room from some hotel-0,301,Moved Permanently,Thread Group 1 1-16,text,true,,508,193,55,55,http://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,852,0,0
1600081620933,1125,Choose room from some hotel-1,200,OK,Thread Group 1 1-16,text,true,,8501,193,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,1125,0,0
1600081620151,1921,Explore pokhara package,200,OK,Thread Group 1 1-9,text,true,,9133,484,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",854,0,0
1600081620151,854,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-9,text,true,,557,242,55,55,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",854,0,0
1600081621005,1067,Explore pokhara package-1,200,OK,Thread Group 1 1-9,text,true,,8576,242,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",1064,0,0
1600081620136,1954,Choose room from some hotel,200,OK,Thread Group 1 1-20,text,true,,9009,386,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,869,0,0
1600081620136,869,Choose room from some hotel-0,301,Moved Permanently,Thread Group 1 1-20,text,true,,508,193,55,55,http://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,869,0,0
1600081621005,1085,Choose room from some hotel-1,200,OK,Thread Group 1 1-20,text,true,,8501,193,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,1085,0,0
1600081620164,1931,Visit homepage,200,OK,Thread Group 1 1-14,text,true,,9008,234,55,55,https://xceltrip.com.np/,876,0,0
1600081620164,876,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-14,text,true,,432,117,55,55,http://xceltrip.com.np/,876,0,0
1600081621040,1055,Visit homepage-1,200,OK,Thread Group 1 1-14,text,true,,8576,117,55,55,https://xceltrip.com.np/,1055,0,0
1600081620205,1903,Explore pokhara package,200,OK,Thread Group 1 1-34,text,true,,9133,484,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",852,0,0
1600081620205,852,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-34,text,true,,557,242,55,55,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",852,0,0
1600081621057,1051,Explore pokhara package-1,200,OK,Thread Group 1 1-34,text,true,,8576,242,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",1051,0,0
1600081620205,1905,Explore pokhara package,200,OK,Thread Group 1 1-26,text,true,,9133,484,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",852,0,0
1600081620205,852,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-26,text,true,,557,242,55,55,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",852,0,0
1600081621057,1053,Explore pokhara package-1,200,OK,Thread Group 1 1-26,text,true,,8576,242,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",1052,0,0
1600081620205,1940,Choose room from some hotel,200,OK,Thread Group 1 1-42,text,true,,9009,386,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,852,0,0
1600081620205,852,Choose room from some hotel-0,301,Moved Permanently,Thread Group 1 1-42,text,true,,508,193,55,55,http://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,852,0,0
1600081621057,1088,Choose room from some hotel-1,200,OK,Thread Group 1 1-42,text,true,,8501,193,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,1088,0,0
1600081620206,1985,Choose room from some hotel,200,OK,Thread Group 1 1-41,text,true,,9009,386,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,852,0,0
1600081620206,852,Choose room from some hotel-0,301,Moved Permanently,Thread Group 1 1-41,text,true,,508,193,55,55,http://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,852,0,0
1600081621058,1133,Choose room from some hotel-1,200,OK,Thread Group 1 1-41,text,true,,8501,193,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,1133,0,0
1600081620285,1933,Visit homepage,200,OK,Thread Group 1 1-51,text,true,,9008,234,55,55,https://xceltrip.com.np/,823,0,0
1600081620285,823,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-51,text,true,,432,117,55,55,http://xceltrip.com.np/,823,0,0
1600081621108,1110,Visit homepage-1,200,OK,Thread Group 1 1-51,text,true,,8576,117,55,55,https://xceltrip.com.np/,1109,0,0
1600081620268,1962,Choose room from some hotel,200,OK,Thread Group 1 1-57,text,true,,9009,386,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,838,0,0
1600081620268,838,Choose room from some hotel-0,301,Moved Permanently,Thread Group 1 1-57,text,true,,508,193,55,55,http://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,838,0,0
1600081621106,1124,Choose room from some hotel-1,200,OK,Thread Group 1 1-57,text,true,,8501,193,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,1114,0,0
1600081620331,1965,Explore pokhara package,200,OK,Thread Group 1 1-49,text,true,,9133,484,56,56,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",836,0,0
1600081620331,836,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-49,text,true,,557,242,56,56,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",836,0,0
1600081621168,1128,Explore pokhara package-1,200,OK,Thread Group 1 1-49,text,true,,8576,242,56,56,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",1063,0,0
1600081620354,1969,Explore pokhara package,200,OK,Thread Group 1 1-29,text,true,,9133,484,56,56,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",835,0,0
1600081620354,835,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-29,text,true,,557,242,56,56,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",835,0,0
